FRESHMAN YEAR,,,,,,,
I. SEMESTER,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
UNI 111,Critical Reading and Writing in Turkish I,3,0,0,3,5,NONE
UNI xxx,Core Course Elective I,3,0,0,3,5,NONE
LIFE 101,Life Sciences I - Chemistry,3,0,0,3,5,NONE
MATH 103,Calculus I - Differential,3,2,0,4,6,NONE
PHYS 103,Physics I - Mechanics and Dynamics,3,2,0,4,6,NONE
PHYS 103L,Physics I - Lab,0,2,0,1,1,NONE
ENGR 105,Introduction to Engineering,(non-credit),,,,2,NONE
TOTAL,,,,,18,30,
II. SEMESTER,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE- REQ.
UNI 112,Critical Reading and Writing in Turkish II,3,0,0,3,5,NONE
UNI xxx,Core Course Elective II,3,0,0,3,5,NONE
LIFE 102,Life Sciences II - Biology,3,0,0,3,5,NONE
MATH 104,Calculus II - Integral,3,2,0,4,6,MATH 103
PHYS 104,Physics II - Electromagnetics and Modern Physics,3,2,0,4,6,NONE
PHYS 104L,Physics II Lab,0,2,0,1,1,NONE
ENGR 100,Computer Skills,(non-credit),,,,2,NONE
TOTAL,,,,,18,30,
UNI 100,Exploring Istanbul,3,0,0,3,5,NONE
,,,,,,,
SOPHOMORE YEAR,,,,,,,
III. SEMESTER,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
ENGR 211,Introduction to Programming,2,2,0,3,5,NONE
MATH 205,Linear Algebra,3,0,0,3,5,NONE
MATH 206,Differential Equations and Complex Analysis,3,0,0,3,4,NONE
EECS 201,System Design Fundamentals,3,2,0,4,6,NONE
EECS 241,Discrete Mathematics,3,0,0,3,4,NONE
UNI xxx,Core Course Elective III,3,0,0,3,5,NONE
TOTAL,,,,,19,29,
IV. SEMESTER,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE- REQ.
ENGR 212,Programming Practice,2,2,0,3,5,NONE
ENGR 251,Probability for Engineers,2,2,0,3,5,NONE
EECS 202,Basic Digital Communication with Networking,3,2,0,4,6,NONE
EECS 218,Digital Logic Design,3,0,0,3,5,NONE
EECS 216,Signals and Systems,2,2,0,3,5,NONE
UNI xxx,Core Course Elective IV,3,0,0,3,5,NONE
TOTAL,,,,,19,31,
EE 200,Summer Practice (25 work days),(non-credit),,,,5,
,,,,,,,
,,,,,,,
JUNIOR YEAR,,,,,,,
V. SEMESTER,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
UNI 123,Textual Analysis and Effective Communication,3,0,0,3,5,NONE
EE 301,Circuit Analysis,3,2,0,4,5,NONE
EE 311,Introduction to Electronic Devices,3,0,0,3,5,NONE
EE 312,Introduction to Communication Systems,3,0,0,3,5,NONE
EE 324,Control Systems,3,0,0,3,5,NONE
xxx,College Elective I,3,0,0,3,5,NONE
TOTAL,,,,,19,30,
VI. SEMESTER,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE- REQ.
UNI 124,Textual Analysis and Academic Writing,3,0,0,3,5,UNI 123
EE 302,Microelectronic Circuit Design,3,2,0,4,5,NONE
EE 321,Electromagnetics,3,0,0,3,5,NONE
EE 332,Microprocessors,3,2,0,4,5,NONE
